blb,b*b
blba,b**a
blbce,b***e
blbci,b***i
blbců,b***ů
blbe,b**e
blbejch,b*****h
blbečci,b*****i
blbečkové,b*******é
blbečku,b*****u
blbečky,b*****y
blbi,b**i
blbino,b****o
blbka,b***a
blbne,b***e
blbnout,b*****t
blbost,b****t
blbosti,b*****i
blbostí,b*****í
blbou,b***u
blbouny,b*****y
blboučtí,b******í
blbovi,b****i
blbu,b**u
blby,b**y
blbá,b**á
blbé,b**é
blbého,b****o
blbí,b**í
blbínku,b*****u
blbý,b**ý
blbů,b**ů
buzerant,b******t
buzerantů,b*******ů
buziku,b****u
buzioblečku,b*********u
chcanky,c*****y
chcačky,c*****y
chčijou,c*****u
cigoš,c***š
cigoše,c****e
cigošům,c*****m
debile,d****e
debílek,d*****k
dement,d****t
dementa,d*****a
dementat,d******t
demente,d*****e
dementem,d******m
dementy,d*****y
dementů,d*****ů
děvka,d***a
děvkař,d****ř
děvky,d***y
děvkách,d*****h
feťačce,f*****e
feťačka,f*****a
feťáci,f****i
feťáky,f****y
feťáků,f****ů
frnda,f***a
fuck,f**k
hajzle,h****e
hajzlové,h******é
hajzlpapír,h********r
hajzlu,h****u
hajzlů,h****ů
heteráci,h******i
homoušům,h******m
hoven,h***n
hovna,h***a
hovno,h***o
jebne,j***e
kokot,k***t
kokote,k****e
kokotek,k*****k
kokotiny,k******y
kokotský,k******ý
kokoty,k****y
kravin,k****n
kravina,k*****a
kravinami,k*******i
kravině,k*****ě
kreténi,k*****i
krávovina,k*******a
kundy,k***y
kurev,k***v
kurevsky,k******y
kuruovců,k******ů
kurva,k***a
kurvo,k***o
kurvou,k****u
kurvy,k***y
lesbicky,l******y
magora,m****a
mamrdi,m****i
mrdat,m***t
mrdka,m***a
mrdkou,m****u
mrdákov,m*****v
naser,n***r
naserete,n******e
nasral,n****l
nasraný,n*****ý
nasrat,n****t
nasrání,n*****í
nechcačky,n*******y
nepochčiješ,n*********š
nepochčijou,n*********u
ojebávat,o******t
osrati,o****i
ošoustat,o******t
ožerou,o****u
ožralý,o****ý
pablbek,p*****k
pakem,p***m
pindíka,p*****a
pička,p***a
pičovina,p******a
poser,p***r
poserou,p*****u
poseru,p****u
poserů,p****ů
posral,p****l
posrali,p*****i
posraný,p*****ý
posraných,p*******h
posrat,p****t
prcičky,p*****y
prde,p**e
prdel,p***l
prdele,p****e
prdeli,p****i
prdelky,p*****y
prdi,p**i
prďolu,p****u
průser,p****r
průserem,p******m
průseru,p*****u
píča,p**a
píči,p**i
přechcávání,p*********í
přečuráme,p*******e
přečůrat,p******t
přiblblou,p*******u
přiblblé,p******é
přiblblíka,p********a
přiblblíkem,p*********m
přiblblý,p******ý
přiblblých,p********h
přiožralých,p*********h
retard,r****d
retarde,r*****e
rozesere,r******e
rozesralo,r*******o
rozumprdi,r*******i
senzidebila,s*********a
ser,s*r
sere,s**e
sereme,s****e
sereš,s***š
serou,s***u
seru,s**u
shit,s**t
socka,s***a
sockou,s****u
socky,s***y
sračky,s****y
sračkách,s******h
teplouš,t*****š
teploušská,t********á
trotla,t****a
trotlovsky,t********y
tupounku,t******u
tupounu,t*****u
ultrahovadech,u***********h
vojebe,v****e
vožralej,v******j
vožraly,v*****y
vychcanost,v********t
vychcanosti,v*********i
vychcané,v******é
vychcánkové,v*********é
vyfakoval,v*******l
vyjebávat,v*******t
vypatlanců,v********ů
vyprdnou,v******u
vyser,v***r
vyserte,v*****e
vysrat,v****t
vyčuraností,v*********í
vyčůraný,v******ý
vyčůránků,v*******ů
zasranou,z******u
zasraném,z******m
zasraný,z*****ý
zblblá,z****á
zblblíci,z******i
zblblíků,z******ů
zblblý,z****ý
zblitky,z*****y
zesrat,z****t
zkurvenej,z*******j
zkurvenou,z*******u
zkurvená,z******á
zkurví,z****í
zmrde,z***e
zmrdi,z***i
zmrdu,z***u
černoprdelníka,č************a
černoprdelníky,č************y
čuráci,č****i
řitního,ř*****o
řití,ř**í
řitě,ř**ě
řiťlezkové,ř********é
řiťolezectví,ř**********í
šoustají,š******í
šukat,š***t
šulina,š****a
