baitola,b*****a
bicha,b***a
bilau,b***u
bimbada,b*****a
bimbar,b****r
bixa,b**a
boiola,b****a
bolagato,b******o
bolcat,b****t
bosta,b***a
bosteiro,b******o
brioco,b****o
buceta,b****a
bucetinha,b*******a
bucetão,b*****o
busseta,b*****a
buça,b**a
cabaço,c****o
cabaçuda,c******a
cabaçudo,c******o
cabação,c*****o
cagado,c****o
cagalhão,c******o
cagão,c***o
caralho,c*****o
caralhudo,c*******o
caralhão,c******o
chana,c***a
checheca,c******a
chereca,c*****a
chibumba,c******a
chibumbo,c******o
chochota,c******a
chota,c***a
ciririca,c******a
colhão,c****o
cu,c*
culhao,c****o
culhão,c****o
culhões,c*****s
curalho,c*****o
currada,c*****a
currar,c****r
cuzao,c***o
cuzinho,c*****o
cuzuda,c****a
cuzudo,c****o
cuzão,c***o
enrabada,e******a
enrabar,e*****r
escrota,e*****a
esporrada,e*******a
esporrado,e*******o
esporrar,e******r
esporrear,e*******r
felacao,f*****o
felação,f*****o
fodao,f***o
fode,f**e
fodedor,f*****r
fodelança,f*******a
foder,f***r
fodida,f****a
fornica,f*****a
fudecao,f*****o
fudendo,f*****o
fudeção,f*****o
furnica,f*****a
furnicar,f******r
iscrota,i*****a
iscroto,i*****o
machorra,m******a
merda,m***a
merdas,m****s
merdoso,m*****o
olhota,o****a
pexereca,p******a
picao,p***o
picão,p***o
piroco,p****o
pixirica,p******a
precheca,p******a
prexeca,p*****a
prexereca,p*******a
punheta,p*****a
punhetao,p******o
punhetas,p******s
punhetão,p******o
puta,p**a
putamerda,p*******a
putana,p****a
puto,p**o
putona,p****a
siririca,s******a
suruba,s****a
tesao,t***o
tesuda,t****a
tesudo,t****o
tesão,t***o
teta,t**a
tetinha,t*****a
tetão,t***o
toba,t**a
xana,x**a
xaninha,x*****a
xavasca,x*****a
xeca,x**a
xerereca,x******a
xexeca,x****a
xibiu,x***u
xochota,x*****a
xota,x**a
xotinha,x*****a
xotão,x***o
xoxota,x****a
xoxotinha,x*******a
xoxotão,x*****o
