Keyword,Machine translation,Human translation (if necessary),Notes,Category,Source,Source2,Source3
狐瘟乱中华,Fox plague chaos China,Hu-Wen disorder in China,criticism of Hu Jintao and Wen Jiabao,Communist Party of China (CPC) -- Criticism,,,
习胡北戴河,Xi Hu Beidaihe,,resort town where CCP leadership gathers to discuss future policies,Communist Party of China (CPC) -- General CPC,,,
习胡北戴河,Insider Jiang Hu Dou,Behind the scenes Jiang-Hu conflict,Jiang Zemin and Hu Jintao reported infighting,Communist Party of China (CPC) -- General CPC,,,
江家帮反扑,Jiang's home to help counterattack,Jiang's associates and clique counterattack,Counterattack against Hu's attempt to push them out of power,Communist Party of China (CPC) -- General CPC,http://www.epochtimes.com/gb/6/10/2/n1473870.htm,,
李洪林访谈录,Li Honglin Interview,,"Li Honglin used to be deputy director of the Theory Bureau of the CCP's Propaganda Department, before being pushed out of party for his views on democracy. He gave a prominent interview with Tencent in 2013 where he criticized Mao and others",Communist Party of China (CPC) -- Criticism,http://v.qq.com/page/u/0/i/u0012z92qsi.html,http://www.youtube.com/watch?v=psr_JlL1Cus,http://www.letscorp.net/archives/52985
马正其渎职,Ma is the malfeasance,Ma Zhengqi's wrongdoings,Journalist accused former vice-mayor of Chongqing for malfeasance; journalist was jailed,Corruption Scandals,http://www.globalpost.com/dispatch/news/afp/130825/china-journalist-held-chongqing-rumours,http://www.scmp.com/news/china/article/1292953/another-mainland-journalist-uses-real-name-accuse-official-corruption,
曾伟曾庆红,Zeng Zeng Qinghong,"Zeng Wei, Zeng Qinghong","Zeng Qinghong was member of Polibitburo Standing Ctte and ally of Jiang. In 2010 Zeng Qinghong's son, Zeng Wei used millions of dollars to buy an Australian property which caught up by the media. (Wikipedia)",Relatives / Associates of Government Officials,http://en.wikipedia.org/wiki/Zeng_Qinghong,http://dailynews.sina.com/gb/chn/chnnews/ausdaily/20130618/16494653020.html,
洗刷陆肆罪名,Wash Lusi charges,Whitewashing June 4 accusations,"Jack Ma, head of Alibaba who was known for his outspoken nature, made comments supportive of the government's crackdown on June 4 and censorship of the event. He later backtracked and the interviewer at the newspaper, SCMP, tried to remove those references after the article had already gone up. However, netizens noticed and the the reporter was fired for tampering with an article. 陆肆 in China Chats.",Tiananmen Square (June 4 1989),http://globalvoicesonline.org/2013/07/17/billionaire-jack-ma-makes-about-face-praises-chinese-government/,http://beijingcream.com/2013/07/scmp-reporter-who-interviewed-jack-ma-resigns/,
江绵恒的儿子,Mr Jiang 's son,Jiang Mianheng's son,"Jiang Zhicheng, grandson of Jiang Zemin, set up private equity fund. Article mentions images of Zhicheng and his grandfather have become a meme?",Relatives / Associates of Government Officials,http://www.wantchinatimes.com/news-subclass-cnt.aspx?id=20120529000053&cid=1101,,
平反64中共,Rehabilitated 64 CPC,"Rehabilitate/give redress to June 4 [victims], Communist Party","A popular chant at the Hong Kong June 4 commemoration, to ask the Communist Party to politically rehabilitate those who organized the protests and/or were arrested/killed at the event",Tiananmen Square (June 4 1989),,,
民运64屠城,MDC 64 massacre,June 4 movement massacre,,Tiananmen Square (June 4 1989),,,
六四民运人士,Sixty-four democracy activist,June 4 movement activist,,Tiananmen Square (June 4 1989),,,
纪念六四运动,June 4th Movement,June 4 movement commemoration,,Tiananmen Square (June 4 1989),,,
六四学运领导,1989 democracy movement leader,June 4 student leader,,Tiananmen Square (June 4 1989),,,
北京六四屠杀,Beijing Tiananmen massacre,,,Tiananmen Square (June 4 1989),,,
六四维园论坛,Sixty-four Victoria Park Forum,June 4 Victoria Park Forum,,Tiananmen Square (June 4 1989),,,
