,Diff?,Machinese translation,CL extracted list,Check,Keyword,Machine translation,pinyin,Human translation (if neccessary),Notes,Sources,Source2,Source3
1,1,,,,浙江签单哥,Zhejiang signing brother,zhèjiāng qiān dān gē ,Zhejiang's receipt-signing Brother,"Zhejiang Vice minister of propaganda was accused in  by netizens of charging over 54 million yuan in expenses to his public office and illegally embezzling hundreds of millions in other corrupt activities. Netizens posted images of his receipts, which contained his signature, thus meriting him the name of ""Zhejiang's receipt-signing-Brother.""",http://home.jxnews.com.cn/thread-1472794-1-1.html,http://www.baike.com/wiki/%E9%B2%8D%E6%B4%AA%E4%BF%8A,
2,,Police Dupin,警察杜平,,警察杜平,Police Dupin,jǐngchá dù píng ,Police Du Ping,"On Nov 7, 2012 in Xuanen county in Hubei province, a rural pedicab driver accidentally ran into a woman, who ws slightl injured. A cop named Duping came and harassed the driver. In the subsequent week, the cop continued to harass the driver, beating up his family. The driver called the police for help, to no avail. Enraged, he stabbed Du Ping with a knife. The villagers back the driver and criticize the cop for abuse of power.",http://www.rfa.org/cantonese/news/police_killed-11152012104028.html,http://weibo.com/2695892433/z59IyAOkx,
2,1,Xuan'en murder now,宣恩杀人现,,宣恩杀人现场,Xuan'en murder scene,Xuānēn shārén xiànchǎng ,,See above,,,
3,1,Jiayeyingchun within Gum,圿叶迎春内衿,,叶迎春内衣,Ye Yingchun underwear,yè yíng chūn nèi yī ,,"Ye is a CCTV-4 newsanchor. I guess people have been posting gotcha photos of her accidentally showing undergarments (e.g. her bra or slip sliding down her shoulder, but no skin exposed) while she's on air.",http://ent.haxiu.com/2011110571304_2.html,http://ent.haxiu.com/2011110571304_3.html,
4,1,Gum demolition Xun Sun Guoxiang,孙国相拆迿,,孙国相拆迁,Sun Guoxiang demolition,sūn guó xiāng chāi qiān ,,"Sun Guoxiang, the current consulate general for China to the U.S. in NY, once demolished numerous shantytowns in Liaoning Province in 2005. He writes about his experiences in a translated chapter (linked to in source column): ""Demolition is always seen as 'the most difficult issue.' Some residents did not understand the policies; some asked for increased compensation; some did not have house ownership... The Committee of the Party and the government of Liaoning not only made the demolition policies to protext the public wealth, but also to provide a practical solution to the problem"" (69).",http://books.google.com/books?id=W2V910yTEusC&pg=PA70&lpg=PA70&dq=sun+guoxiang+demolition&source=bl&ots=GhF7CpMhu1&sig=QV-WJ9-hFKs_kCxwekh2KOSra40&hl=en&sa=X&ei=YR9rUu-LDtHMkQfM9YGYAQ&ved=0CDIQ6AEwAQ#v=onepage&q=sun%20guoxiang%20demolition&f=false,,
5,,Inside the central leadership,中央领导内幕,,中央领导内幕,Inside the central leadership,zhōngyāng lǐngdǎo nèimù ,Central leadership insider,"A general term for someone with inside info about the CCP, with the implication being they are revealing something secretive or scandalous.",,,
6a,,Panjin two cousin Jiang Weihua,盘锦二表哥姜伟华,,盘锦二表哥姜伟华,Panjin two cousin Jiang Weihua,Pánjǐn èr biǎo gē jiāng wěi huá ,Panjin Watch Brother Jiang Weihua,"Sept 2012: A farmer in Panjin, Liaoning Province refused to give up his land to the government. Epoch Times reports: ""Jiang Weihua, effectively ordered Wang’s death. Jiang is also head of the local Public Security Bureau. According to Liang, he said words to the effect of: “If he does not cooperate, if he dares to oppose the government, what’s the big deal about killing a few? Shoot! The compensation is only a few hundred thousand, isn’t it? I’ll take care of all that, and the central government doesn’t have the authority to intervene.”""",,,
6,1,Panjin open 枿,盘锦开枿,,盘锦开枪,Panjin shot,Pánjǐn kāiqiāng ,,see above,http://www.theepochtimes.com/n2/china-news/chinese-police-shoot-peasant-who-tried-to-defend-home-295973.html,,
6,,Four scholars suggestions,四学者建言,,四学者建言,Four scholars suggestions,sì xuézhě jiàn yán ,,Four university professors from Peking and Tsinhua University sent an application demaning an investigation into the Panjin murder as is their right reserved by the consititution.,http://china.caixin.com/2012-11-01/100454806.html,,
7,1,Tanzania state-of-alone block,只身挡坦兿,,只身挡坦克,Tanks block alone,zhǐ shēn dǎng tǎnkè ,,Tank man,,,
3,1,Ye Ying 昿,叶迎昿,,叶迎春,Ye Yingchun,yè yíng chūn ,,The CCTV-4 newsanchor mentioned above.,,,
8,1,Broke filial Fan,爆料不孝奿,,爆料不孝女,Not broke Daughters,bào liào bù xiào nǚ ,Expose: unfilial daughter,"Might refer to three different cases? 1) In Jan 2012, a girl who was kicked out of her house(?) claimed her father had sexually abused her, and his father was taken in for questioning. 2) A teenage girl was caught on tape slapping her verbally abusive mother and police had to be called in to restrain the girl. 3) Most likely refers to the source in row below",http://www.dailymotion.com/video/xnl3g4_unfilial-daughter-falsely-accuse-father-of-sexual-abuse_news,http://www.northnews.cn/2013/0522/1114236.shtml,http://www.cutv.com/guonei/2013-5-16/1368713294412.shtml
8,,CPPCC members actually broke Xi descendants,爆料朱熹后人 竟是政协委员,,爆料朱熹后人 竟是政协委员,CPPCC members actually broke Xi descendants,bào liào zhū xī hòurén  jìng shì zhèngxié wěiyuán ,"Expose: Zhu Xi's descendants, unexpectedly CPPCC committee members",[No idea what the news article in source is about],http://bbs.oeeee.com/thread-8527618-1-1.html,,
9,,Yang Dongping RDFZ choice fees,人大附中择校费杨东平,,人大附中择校费杨东平,Yang Dongping RDFZ choice fees,réndà fù zhōng zé xiào fèi yáng Dōngpíng ,Renmin High School Early Choice fees; Yang Dongping,"Renmin High School decided to rise its early choice fees, limiting the chance that poor, academically-qualified students would be able to attend one of Beijing's most prestigious high schools. Education scholar Yang Dongping is a critic of such fees and is in favor of more equality between the classes with regard to education.",http://edu.qq.com/a/20121106/000231.htm,http://www.businessweek.com/articles/2013-04-04/chinese-education-the-truth-behind-the-boasts,http://usa.chinadaily.com.cn/china/2012-09/07/content_15741212.htm
10,,Royal Park curfew,帝都 实行宵禁,,帝都 实行宵禁,Royal Park curfew,dì dōu  shíxíng xiāojìn ,Imperial Capital implements night curfew,"There's also a Royal Park Hotel in HK known as 帝都, but don't think it refers to that. Maybe refers to the supposed threat of curfew implemented on Beijing to curtail partying during the 2008 Olympics?",http://www.nbcnews.com/id/26168079/#.Umsvwvmsim4,,
X,1,11 to 15 Wu Bouquet taxi ban Gum,11朿日至15旿出租车禁衿,,11月5日至15日 出租车禁行,November 5 to 15 taxi forbidden line,11yuè 5rìzhì 15rì  chūzūchē jìn xíng ,Nov 5 to 15 taxis banned,[No idea],,,
12,,Jiang Zemin is controlled,江泽民被控制,,江泽民被控制,Jiang Zemin is controlled,jiāngzémín bèi kòngzhì ,Jiang Zemin has been controlled,see below,,,
12,,Department of the Central Military Commission Jiang was withdrawn,江系军委被撤,,江系军委被撤,Department of the Central Military Commission Jiang was withdrawn,jiāng xì jūnwěi bèi chè ,Jiang [System?] withdraws from Military Commission,"Epoch Times reports that Jiang Zemin's office in the Military Commision was shut down in Nov 2012 before the promotion of this current generation of leaders, perhaps as a way to wrest control of the political system away from him.",http://www.theepochtimes.com/n2/china-news/central-military-commission-closes-jiang-zemins-office-reports-paper-310396.html,,
