word,human_translation,machine_translation,clients
陆肆,"Another way of writing 六四, or Liu Si, in reference to the Tiananmen Square protests that occurred on June 4th, 1989.",Lusi,TOM-Skype
六四,Six Four,Sixty-four,Sina UC; YY; 9158; TOM-Skype; LINE; Sina Show
学潮,,Campus upheaval,Sina UC; YY; Sina Show; TOM-Skype; LINE
郑存柱,Zheng Cun Zhu (Person's name),Zheng Cunzhu,TOM-Skype
丁子霖,The leader of the Tiananmen Mothers.  Her son died in the Tiananmen Square Protests of 1989.  She is a Charter 08 signatory.,Ding Zilin,Sina UC; YY; Sina Show; TOM-Skype; LINE
浦志強,Pu Zhiqiang (Person's name),Pu Zhiqiang,TOM-Skype
趙紫陽,Zhao Ziyang (Person's name),Zhao Ziyang,TOM-Skype
武警镇压,Repression by armed police,Armed repression,TOM-Skype
任雪冰,"A reporter who covered the Tiananmen Square protests of 1989, and is now a dissident.",Renxue Bing,TOM-Skype
天安門虐殺,Tiananmen Square Massacre,Tiananmen Square Massacre,TOM-Skype
六月里应该有爱,Love in June,June there should be love,TOM-Skype
流亡者的牧歌,,Pastoral exiles,TOM-Skype
太学生闹事,(meme) College student unrest,Too student unrest,TOM-Skype
大学生闹事,,Students trouble,TOM-Skype
八九,Eighty-nine,Eighty-nine,TOM-Skype; Sina Show; LINE
天安门祭,Tiananmen Square sacrifice,Tiananmen Square Festival,TOM-Skype
河殇,River Elegy,River Elegy,Sina UC; TOM-Skype; Sina Show
八九民运,1989 Democracy Movement,June incident,Sina UC; YY; Sina Show; TOM-Skype; LINE
学生反革命暴乱,Student counter-revolutionary revolt,Students counterrevolutionary riot,TOM-Skype
学生的流血事件,Student bloodshed incident,Students bloodshed,TOM-Skype
螳臂挡车,"Appears to be a reference to the Tank Man incident after the June 1989 Tiananmen Square protests, in which a man stood in front of military tanks.",Tangbidangju,TOM-Skype
维多利亚公园,A public park in Hong Kong.,Victoria Park,TOM-Skype
五月三十五,May 35th,五月 thirty-five,Sina UC; YY; TOM-Skype
22周年,22 year anniversary,22 years,TOM-Skype
二十二年前,22 years ago,Twenty-two ago,YY; TOM-Skype
瓶反鹿死,(contextual translation) Redress June Fourth,Bottle Anti dead deer,YY; TOM-Skype
64,,,TOM-Skype
89,,,TOM-Skype
1/9/8/9,,,TOM-Skype
1+3,,,TOM-Skype
24集团军,,24 Army,TOM-Skype
32x2,,,TOM-Skype
38军,,38 army,YY; TOM-Skype; LINE
88+1,,,TOM-Skype
ⅳ,,,TOM-Skype
ⅵ,six,,TOM-Skype
ⅥⅣ,,,Sina UC; TOM-Skype
Ⅷ,8,,TOM-Skype
ⅧⅨ,,,TOM-Skype
Feng丛德,Feng Congde (Person's name),Feng Cong Germany,TOM-Skype
I Ⅸ Ⅷ Ⅸ,,,TOM-Skype
IIXVIIIIX,,,TOM-Skype
Jun 4th,,,TOM-Skype
June 4th,,,TOM-Skype
JUNE4事件,June 4 incident,JUNE4 event,TOM-Skype
liù sì,Six four,,Sina UC; TOM-Skype
massacre,,,TOM-Skype
six 4,,,TOM-Skype
six four,June Fourth,,Sina UC; TOM-Skype
SIX-FOUR,,,TOM-Skype
sixquatre,,,TOM-Skype
six-quatre,,,Sina UC; TOM-Skype
six四,June 4 [1989],six four,YY; TOM-Skype
six月four日,June 4 [1989],six months four days,YY; TOM-Skype
TAM事件,Tiananmen incident,TAM event,TOM-Skype
The Tank Man,,,TOM-Skype
tian an door,,,TOM-Skype
tian an protest,,,TOM-Skype
tianandoor,,,TOM-Skype
tiananme,,,TOM-Skype
VI IV,,,TOM-Skype
VIII,,,TOM-Skype
VIII IX VI IV,,,TOM-Skype
VIIIIX VI IV,,,TOM-Skype
VIIV,,,Sina UC; TOM-Skype
weiyuan,,,TOM-Skype
wu er kai xi,Wu'erkaixi (Person's name),,Sina UC; TOM-Skype
暗无天日,,Complete darkness,TOM-Skype
畜生,Beast,Beast,TOM-Skype; Sina Show
畜牲,,Beast,TOM-Skype
告同胞书,A letter/message to compatriots,Compatriots report,TOM-Skype
告同胞書全文,A letter/message to compatriots full text,Compatriots full report,TOM-Skype
工运,Worker's movement,Labor Movement,TOM-Skype
工自联,Capital/Beijing Autonomous Workers Federation,Independent Workers' Alliance,TOM-Skype; Sina Show
广场,Square (or plaza),Plaza,TOM-Skype
纪念,Remembrance/memorial,Anniversary,TOM-Skype
戒严,,Martial law,Sina UC; TOM-Skype; Sina Show
历史真相,,Historical truth,TOM-Skype
缅怀,,Nostalgia,TOM-Skype
平反,,Rehabilitate,TOM-Skype
尚昆,[Yang] Shangkun (Person's name),Shang Kun,TOM-Skype
坦克,,Tank,TOM-Skype
天安门,,Tiananmen,TOM-Skype; 9158
天怒,Wrath of heaven,Wrath,TOM-Skype; Sina Show
田纪云,Person's name,Tian,YY; TOM-Skype
统战,,United Front,TOM-Skype; Sina Show
王维林,Wang Weilin (Tank man),Wang Weilin,TOM-Skype; LINE
维护名单,Maintenance List,Maintains the list,TOM-Skype
维园,Victoria Park (Hong Kong),Victoria Park,TOM-Skype
唔尔凯西,Wu'erkaixi (Person's name),Well 尔凯西,TOM-Skype
勿忘六四,,Do not forget sixty-four,YY; TOM-Skype
谢万军,Xie Wanjun (Person's name),Xie,TOM-Skype
薪火,Eternal flame,Passing,TOM-Skype
学生代表,Student representative,Student Representative,TOM-Skype
学生领袖,Student leaders,Student leaders,Sina UC; TOM-Skype
学运,Student movement,Student movement,Sina UC; TOM-Skype; Sina Show; LINE
學員,Student,Student,TOM-Skype
血腥镇压,,Bloody crackdown,YY; TOM-Skype
血战,Blood battle,Bloody battle,TOM-Skype
杨建利,Yang Jianli (Person's name),Yang Jianli,Sina UC; TOM-Skype
以暴制暴,Use violence to combat violence,To violence with violence,TOM-Skype
长安街,Chang'an Avenue,Chang'an Avenue,TOM-Skype
赵长青,"Zhao Changqing (Person's name, homonym)",ZhaoChangQing,TOM-Skype
鎮壓,Repression,Repression,TOM-Skype
春夏之交,Between Spring and Summer,Spring and summer,Sina UC; Sina Show
高自联,Beijing Autonomous University Students Union,High self-linking,Sina UC; YY; Sina Show
liusi,Six four (June Fourth),,Sina UC
六四民运,Six four democracy movement,Sixty-four pro,Sina UC; LINE
自由花,,Freedom Flower,Sina UC; YY
天安门事件,Tiananmen Incident,Tiananmen Incident,Sina UC; YY; Sina Show; LINE
一九八九,1989,One thousand nine hundred eighty-nine,Sina UC; Sina Show
8964,,,Sina UC; YY; Sina Show; LINE
20周年网络大会,20th Anniversary Internet Meeting,20th anniversary of the Network Conference,Sina UC
历史爆炸,Historical explosion,History explosion,Sina UC
六四在行动,June Fourth in action,Sixty-four in action,Sina UC; YY
那时历史还没残疾,At that time history was not disabled (loose translation),Disability History No time,Sina UC
遛似,(homonym) June 4,Stroll like,Sina UC
维稳新手法,New tactics to maintain stability,Maintenance of stability new tricks,Sina UC
继承英烈志,Inherit the spirit of bravery (loose translation),Chi inherit martyrs,Sina UC
四二六社论,,April 26 editorial,Sina UC; YY
历史的伤口,The wound in history,History wounds,Sina UC
北京植物人,Beijing coma,Beijing vegetative,Sina UC
六三夜谈兵,,Sixty-three Arabian Nights soldiers,Sina UC
六月四,June 4,June 4,Sina UC
六月的第四天,Fourth day of June,June Day,Sina UC
六四事件,June 4 Incident,June incident,Sina UC; YY; LINE
六四事变,June 4 incident,Sixty-four Incident,Sina UC
六四时,June 4 time,When sixty-four,Sina UC
六四后,,After June Fourth,Sina UC
六四前,,Sixty-four ago,Sina UC
六四风波,June 4 crisis,Sixty-four storm,Sina UC; YY
六si,Six four,Six si,Sina UC
六four,Six four,Six four,Sina UC; YY
六肆,June 4,Six wantonly,Sina UC
六*四,6/4/2015,Six * Four,Sina UC; YY
八九民主,89 democracy,Eighty-nine democracy,Sina UC; YY; LINE
八九春试马,,Eighty-nine spring horse trial,Sina UC
八九悲歌,,Eighty-nine Elegy,Sina UC
八九年,89 year,2089,Sina UC
八平方事件,,Eight square Event,Sina UC; YY
八平方纪念,Eight squared memorial (8 to the power of 8 = 64),Eight square Memorial,Sina UC
八jiu,6/4/2015,Eight jiu,Sina UC; YY
八老下令,Eight Elders issue order,Eight old ordered,Sina UC
儿童节后的第三天,Three days after Children's Day (June 1),On the third day after Children's Day,Sina UC
一个解放军的1989,,A PLA 1989,Sina UC; YY
一整夜的子弹,,A night of bullets,Sina UC
民众以身堵截军车,Public used bodies to obstruct military vehicles,People in order to cut off military vehicle body,Sina UC
民主歌声献中华,Concert for Democracy in China,Xian China Democratic Songs,Sina UC; YY
枪声犹在欲忘言,"(literal translation) Gunshots still ringing, desire to forget the words",Gunfire still want to forget the words,Sina UC
杀二十万,,Kill two hundred thousand,Sina UC
支聯會,Hong Kong Alliance in Support of Patriotic Democratic Movements in China,Stake,Sina UC; YY
戒yan,Martial law,Ring yan,Sina UC
