dp,url,cat,title,YE_txt,YE_status
B0B5XQBGQ1,https://www.amazon.com/dp/B0B5XQBGQ1/?aod=1,,Amazon.com : Avery - Pack of 96 Minimalist Labels for Spice Jars - Ready to Use - Rectangular Format 3.8 cm x 4.5 cm : Office Products,Currently unavailable. We don't know when or if this item will be back in stock. Deliver to Yemen Add to List,This item cannot be shipped to your selected delivery location. Please choose a different delivery location. (1)
B00XUGYMUA,https://www.amazon.com/dp/B00XUGYMUA/?aod=1,,Amazon.com : Barilla Pasta Ranked # 5 Gluten Free Spaghetti 400g by BARILLA G. e R. FRATELLI SpA : Grocery & Gourmet Food,Currently unavailable. We don't know when or if this item will be back in stock. Deliver to Yemen Add to List,Not added (1)
B09GS7HV5B,https://www.amazon.com/dp/B09GS7HV5B/?aod=1,,"Amazon.com: COLORPOP Men's Contemporary, Pink, 97 x 65 x 5mm : Clothing, Shoes & Jewelry",Currently unavailable. We don't know when or if this item will be back in stock. Deliver to Yemen Add to List,This item cannot be shipped to your selected delivery location. Please choose a different delivery location. (1)
B0B1QC4NL3,https://www.amazon.com/dp/B0B1QC4NL3/?aod=1,,Amazon.com : Finocam - Calendar 2023 International Wall Images January 2023 - December 2023 (12 months) Nature International : Office Products,Currently unavailable. We don't know when or if this item will be back in stock. Deliver to Yemen Add to List,This item cannot be shipped to your selected delivery location. Please choose a different delivery location. (1)
B0B3DS2XHZ,https://www.amazon.com/dp/B0B3DS2XHZ/?aod=1,,Amazon.com : Filofax Week on Two Pages - French - Pocket - 2023 : Office Products,Currently unavailable. We don't know when or if this item will be back in stock. Deliver to Yemen Add to List,This item cannot be shipped to your selected delivery location. Please choose a different delivery location. (1)
B0B5HC9VYT,https://www.amazon.com/dp/B0B5HC9VYT/?aod=1,,Amazon.com : Finocam 2023 Opaque Spiral Weekly Diary January 2023 - December 2023 (12 Months) Black French : Office Products,Currently unavailable. We don't know when or if this item will be back in stock. Deliver to Yemen Add to List,This item cannot be shipped to your selected delivery location. Please choose a different delivery location. (1)
B0B88MYCPJ,https://www.amazon.com/dp/B0B88MYCPJ/?aod=1,,Amazon.com: Official Studio Pets Cats Calendar 2023 - Desktop Calendar 2023 - 7 x 8 inches / 18 x 20 cm - Cats Desk Calendar 2023 - 12 Month 2023 Planner - Cat Calendar 2023 : Everything Else,Currently unavailable. We don't know when or if this item will be back in stock. Deliver to Yemen Add to List,This item cannot be shipped to your selected delivery location. Please choose a different delivery location. (1)
B0B88QRJJJ,https://www.amazon.com/dp/B0B88QRJJJ/?aod=1,,"Amazon.com : Official Studio Pets French Bulldog Wall Calendar 2023 12"" x 12"" FSC®| 12 Month Planner | Square Wall Calendar 2023 | Family Planner Calendar 2023 | Dog Calendar 2023 | + 4 Bonus Months : Office Products",Currently unavailable. We don't know when or if this item will be back in stock. Deliver to Yemen Add to List,This item cannot be shipped to your selected delivery location. Please choose a different delivery location. (1)
B0B88S6CGG,https://www.amazon.com/dp/B0B88S6CGG/?aod=1,,"Amazon.com: Official Glitter Wall Calendar 2023 12"" x 12"" FSC®| 12 Month Planner | Square Wall Calendar 2023 | Family Planner Calendar 2023 | Glitter Calendar 2023 | + 4 Bonus Months : Everything Else",Currently unavailable. We don't know when or if this item will be back in stock. Deliver to Yemen Add to List,This item cannot be shipped to your selected delivery location. Please choose a different delivery location. (1)
B004NHRB12,https://www.amazon.com/dp/B004NHRB12/?aod=1,,Amazon.com: Mama - Instant Noodles Chicken - 30 bags,Currently unavailable. We don't know when or if this item will be back in stock. Deliver to Yemen Add to List,Not added (1)
B007D3NR3O,https://www.amazon.com/dp/B007D3NR3O/?aod=1,,"Amazon.com : Carson VP Series 12x50mm High Definition Waterproof Binoculars (VP-250) , Black : Sports Fan Binoculars : Electronics",Currently unavailable. We don't know when or if this item will be back in stock. Deliver to Yemen Add to List,This item cannot be shipped to your selected delivery location. Please choose a different delivery location. (1)
B00CUIVI6A,https://www.amazon.com/dp/B00CUIVI6A/?aod=1,,Amazon.com : NYC Expert Last Lipcolor - Sugar Plum : Beauty & Personal Care,Currently unavailable. We don't know when or if this item will be back in stock. Deliver to Yemen Add to List,Not added (1)
B01DRWWLUO,https://www.amazon.com/dp/B01DRWWLUO/?aod=1,,"Transcend 480 GB TLC SATA III 6Gb/s 2.5"" Solid State Drive (TS480GSSD220S)",Currently unavailable. We don't know when or if this item will be back in stock. Deliver to Yemen Add to List,Not added (2)
B00N1LRW3S,https://www.amazon.com/dp/B00N1LRW3S/?aod=1,,Camco 51017 Fire Starter Stick - Pack of 12,Currently unavailable. We don't know when or if this item will be back in stock. Deliver to Yemen Add to List,Not added (1)
B000MGWGMW,https://www.amazon.com/dp/B000MGWGMW/?aod=1,,"Amazon.com: NOW Supplements, Propolis 1,500 mg with 5:1 Concentrate, Natural Bee Product, 100 Veg Capsules : Health & Household",Currently unavailable. We don't know when or if this item will be back in stock. Deliver to Yemen Add to List,Not added (3)
B001PH805O,https://www.amazon.com/dp/B001PH805O/?aod=1,,Amazon.com: Läufer Ambiente La Linea 34836 Signature Blotting Book 24 x 33.5 cm Black : Everything Else,Currently unavailable. We don't know when or if this item will be back in stock. Deliver to Yemen Add to List,This item cannot be shipped to your selected delivery location. Please choose a different delivery location. (1)
B002ZXJCJA,https://www.amazon.com/dp/B002ZXJCJA/?aod=1,,Amazon.com: Club Salsa F830245 Wood Block : Everything Else,Currently unavailable. We don't know when or if this item will be back in stock. Deliver to Yemen Add to List,This item cannot be shipped to your selected delivery location. Please choose a different delivery location. (1)
B003BPWOSM,https://www.amazon.com/dp/B003BPWOSM/?aod=1,,Comma LS80W901L LS80W-90 1L Limited Slip Gear Oil,Currently unavailable. We don't know when or if this item will be back in stock. Deliver to Yemen Add to List,This item cannot be shipped to your selected delivery location. Please choose a different delivery location. (1)
B004FQVI9M,https://www.amazon.com/dp/B004FQVI9M/?aod=1,,"Amazon.com : Aristo AH7088 Tilt Stand for Drawing Pad : Drafting Tools : Arts, Crafts & Sewing",Currently unavailable. We don't know when or if this item will be back in stock. Deliver to Yemen Add to List,This item cannot be shipped to your selected delivery location. Please choose a different delivery location. (1)
B00BG9V8FU,https://www.amazon.com/dp/B00BG9V8FU/?aod=1,,"Amazon.com: Simoni Racing CSR/DA-B Universal Cover Seats Daisy, Blue : Automotive",Currently unavailable. We don't know when or if this item will be back in stock. Deliver to Yemen Add to List,This item cannot be shipped to your selected delivery location. Please choose a different delivery location. (1)
B00BG9V9HC,https://www.amazon.com/dp/B00BG9V9HC/?aod=1,,"Amazon.com: Simoni Racing CSR/DA-GR Universal Cover Seats Daisy, Grey : Automotive",Currently unavailable. We don't know when or if this item will be back in stock. Deliver to Yemen Add to List,This item cannot be shipped to your selected delivery location. Please choose a different delivery location. (1)
B00BG9VCLA,https://www.amazon.com/dp/B00BG9VCLA/?aod=1,,"Amazon.com: Simoni Racing CSR/DA-R Universal Cover Seats Daisy, Red : Automotive",Currently unavailable. We don't know when or if this item will be back in stock. Deliver to Yemen Add to List,This item cannot be shipped to your selected delivery location. Please choose a different delivery location. (1)
B00ICE5KN8,https://www.amazon.com/dp/B00ICE5KN8/?aod=1,,Amazon.com : 2 x Super III Natural Bee Propolis 200 softgels/ bottle Fresh Good Product : Health & Household,Currently unavailable. We don't know when or if this item will be back in stock. Deliver to Yemen Add to List,Not added (2)
B01IEKG402,https://www.amazon.com/dp/B01IEKG402/?aod=1,,Seagate BarraCuda 2TB Internal Hard Drive HDD – 3.5 Inch SATA 6 Gb/s 7200 RPM 64MB Cache for Computer Desktop PC Laptop (ST2000DM006),Currently unavailable. We don't know when or if this item will be back in stock. Deliver to Yemen Add to List,Not added (4)
B01NBEY9HY,https://www.amazon.com/dp/B01NBEY9HY/?aod=1,,"Amazon.com: Nuun Vitamins: Vitamins + Electrolyte Drink Tablets, Mixed Fruit Pack, 4 Tubes (48 Servings), 12 Count (Pack of 4) : Health & Household",Temporarily out of stock. We are working hard to be back in stock as soon as possible. Deliver to Yemen Add to List,Not added (1)
